t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow,cg_iters,cg_columns,cg_converged,obj_lp,obj_greedy,key_blocked_edges
0,245000000.0,0,2109375.0,2425130.2083333335,0,0.8811589100178921,0.9476988686844755,0,0.0,2695312.5,782012939453.125,390625.0,78201293945312.5,0.0,0.0,0,0,1,0.0,0.0,0
1,245000000.0,0,1718750.0,2350260.4166666665,0,1.9895459465001724,2.1629597325192615,0,0.0,5390625.0,3128051757812.5,781250.0,312805175781250.0,0.0,0.0,0,0,1,0.0,0.0,0
2,245000000.0,0,1328125.0,2275390.625,0,3.1457070394308886,3.5047493651838613,0,0.0,8085937.5,7038116455078.125,1171875.0,703811645507812.5,0.0,0.0,0,0,1,0.0,0.0,0
3,245000000.0,0,937500.0,2200520.8333333335,0,4.403834662756154,5.131060202450719,0,0.0,10781250.0,12512207031250.0,1562500.0,1251220703125000.0,0.0,0.0,0,0,1,0.0,0.0,0
4,245000000.0,0,546875.0,2125727.9088923293,0,4.634799644871888,7.650467716176135,0,0.0,13473795.279876133,19542758783178.734,1953125.0,1954275878317873.5,2767.2201238659704,1.6439116734545678e-10,0,0,1,0.0,0.0,0
5,245000000.0,0,156250.0,2050934.9844513258,0,8.377627824272253,17.71860095389507,0,0.0,16166340.559752269,28134313595756.844,2343750.0,2813431359575684.5,2767.2201238659704,1.6439116734545678e-10,0,0,1,0.0,0.0,0
6,185000000.0,1,0.0,2002183.7266769889,60000000,44.91221416438203,126.0,4,3600000000000000.0,17921385.839628402,33381590608133.926,2500000.0,5138159060813392.0,2767.2201238659704,1.6439116734545678e-10,0,0,1,0.0,0.0,0
7,305000000.0,0,0.0,1901349.1355693182,0,7.39404182501277,10.194888178913738,0,0.0,21551431.119504537,39069850453170.87,2500000.0,3906985045317086.5,2767.2201238659704,1.6439116734545678e-10,0,0,1,0.0,0.0,0
8,245000000.0,0,0.0,1827263.1065323895,0,10.497477455435167,33.27646129541864,0,0.0,24218528.164833978,45733924788708.21,2500000.0,4573392478870821.0,28215.454670557352,1.6370904631912708e-11,0,0,1,0.0,0.0,0
9,125000000.0,1,0.0,1800920.1330510161,120000000,23.59671299568901,129.0,1,1.04e+16,25166875.210163422,48558097917008.39,2500000.0,1.005580979170084e+16,28215.454670557352,1.6370904631912708e-11,0,0,1,0.0,0.0,0
10,105000000.0,0,0.0,1780221.8822819851,260000000,7.840930328266602,15.672753057968446,0,4.36e+16,25923752.24225961,50901810624439.75,2500000.0,2.6890181062443976e+16,75175.47231489203,9.094947017729282e-11,0,0,1,0.0,0.0,0
11,105000000.0,0,0.0,1759523.6315129544,400000000,10.488441379963382,23.71860095389507,0,1e+17,26680629.274355803,53479011589132.305,2500000.0,5.534790115891323e+16,75175.47231489203,9.094947017729282e-11,0,0,1,0.0,0.0,0
12,95000000.0,1,0.0,1740995.5196328128,550000000,35.74203896744485,132.0,2,1.797e+17,27359381.306451995,55898995657840.89,2500000.0,9.54398995657841e+16,75175.47231489203,7.457856554538012e-11,0,0,1,0.0,0.0,0
13,55000000.0,0,0.0,1731174.8517565015,740000000,5.247622360045145,14.763960090402955,0,2.86e+17,27725149.34647923,56899888776957.94,2500000.0,1.486899888776958e+17,76143.45645280111,1.2585132935782894e-10,0,0,1,0.0,0.0,0
14,81697864.08823869,2,0.0,1706869.6656031513,903302136,33.805305137699854,120.0,3,4.120460928243183e+17,28612118.048445404,58891450887053.914,2500000.0,2.119121915008645e+17,76143.45645280111,1.2585132935782894e-10,0,0,1,0.0,0.0,0
15,55000000.0,0,0.0,1697048.9977268402,1093302136,6.305847408999323,17.13106020245072,0,5.7234328505637677e+17,28977644.09243816,60062708025661.6,2500000.0,2.9217791333075456e+17,76143.45645280111,1.1857537174364552e-10,0,0,1,0.0,0.0,0
16,55000000.0,0,0.0,1687228.3298505293,1283302136,6.986620670733355,18.378563199167502,0,7.608404772884353e+17,29343170.136430923,61320263277627.15,2500000.0,3.8655226497198035e+17,76143.45645280111,1.1857537174364552e-10,0,0,1,0.0,0.0,0
17,55000000.0,0,0.0,1677407.6619742182,1473302136,7.868300362181253,19.691110924228408,0,9.775376695204938e+17,29708696.18042368,62664116642950.55,2500000.0,4.9503524642454195e+17,76143.45645280111,1.1857537174364552e-10,0,0,1,0.0,0.0,0
18,55000000.0,0,0.0,1667586.994097907,1663302136,9.161740891280054,21.098223362540544,0,1.2224348617525522e+18,30074222.224416442,64094268121631.805,2500000.0,6.176268576884393e+17,76143.45645280111,1.240323399542831e-10,0,0,1,0.0,0.0,0
19,55000000.0,0,0.0,1657766.326221596,1853302136,11.603570835716496,22.650467716176134,0,1.4955320539846108e+18,30439748.2684092,65610717713670.91,2500000.0,7.543270987636724e+17,76143.45645280111,1.240323399542831e-10,0,0,1,0.0,0.0,0
20,55000000.0,0,0.0,1647945.6583452849,2043302136,22.59543495741156,47.6207843311172,1,1.7968292462166694e+18,30805274.31240196,67213465419067.87,2500000.0,9.051359696502415e+17,76143.45645280111,9.202949513564818e-11,0,0,1,0.0,0.0,0
21,55000000.0,0,0.0,1631614.5738023072,2233302136,19.27687323101811,81.97960590855828,1,2.1263264384487278e+18,31393193.35594916,68556053243837.96,2500000.0,1.0700188245487476e+18,76143.45645280111,9.310952009400353e-11,0,0,1,0.0,0.0,0
22,53892625.58265072,2,0.0,1612629.0699979083,2424409510,37.02396218989936,120.0,2,2.4701246904681636e+18,32076671.4929075,70134520605820.46,2500000.0,1.242075797294664e+18,76143.45645280111,9.492850949754938e-11,0,0,1,0.0,0.0,0
23,41252101.890241034,1,0.0,1598738.023286805,2628157408,40.09572175305764,120.0,2,2.839375711654651e+18,32576749.174507227,71992215472922.17,2500000.0,1.4268870773746176e+18,76143.45645280111,9.129053069045767e-11,0,0,1,0.0,0.0,0
24,0.0,0,0.0,1600853.119299383,2873157408,0.0,0.0,0,3.254661283651073e+18,32500605.718054425,71716944172869.22,2500000.0,1.6345023362428234e+18,76143.45645280111,6.582467904081568e-11,0,0,1,0.0,0.0,0
25,13212612.132191777,1,0.0,1597233.574632174,3104944796,30.750166989402032,120.0,1,3.698582148910429e+18,32630909.326073945,71827937681398.34,2500000.0,1.8564738682233544e+18,76143.45654597635,6.336335900414269e-10,0,0,1,0.0,0.0,0
26,0.0,0,0.0,1599348.67064734,3349944796,0.0,0.0,0,4.17557496417892e+18,32554765.86952797,71552491879423.73,2500000.0,2.0949427312774024e+18,76143.45654597635,6.354525794449728e-10,0,0,1,0.0,0.0,0
27,0.0,0,0.0,1601463.7666793556,3594944796,0.0,0.0,0,4.683817779447411e+18,32478622.412375405,71278547221649.92,2500000.0,2.34903674444587e+18,76143.45715256437,8.467934744247133e-10,0,0,1,0.0,0.0,0
28,0.0,0,0.0,1604053.9087635833,3839944796,0.0,0.0,0,5.223310594715902e+18,32385377.297343206,70921874864851.69,2500000.0,2.618747484844436e+18,93245.1150321998,8.467934744247133e-10,0,0,1,0.0,0.0,0
29,27853282.703090385,2,0.0,1591728.6185109476,4057091513,51.18098899490901,120.0,3,5.749231306236315e+18,32829087.7464381,71620132893911.67,2500000.0,2.8817776664075484e+18,93245.1150321998,8.486124638282591e-10,0,0,1,0.0,0.0,0
30,0.0,0,0.0,1594318.7605951752,4302091513,0.0,0.0,0,6.348699268170538e+18,32735842.6314059,71264077710131.62,2500000.0,3.181476041856282e+18,93245.1150321998,8.449744850211674e-10,0,0,1,0.0,0.0,0
31,15212759.010680692,1,0.0,1590306.1426921282,4531878754,30.752614751627313,120.0,1,6.971362539853782e+18,32880296.875915587,71355576844221.22,2500000.0,3.492816827611313e+18,93245.1150321998,8.449744850753775e-10,0,0,1,0.0,0.0,0
32,0.0,0,0.0,1592896.2847763558,4776878754,0.0,0.0,0,7.632417736247366e+18,32787051.760883387,70999615647619.5,2500000.0,3.823308829688445e+18,93245.1150321998,8.431554956718317e-10,0,0,1,0.0,0.0,0
33,0.0,0,0.0,1595955.158206135,5021878754,0.0,0.0,0,8.324722932640948e+18,32676932.317411344,70599916096031.84,2500000.0,4.169421457930077e+18,110119.44347204514,6.394286824746957e-10,0,0,1,0.0,0.0,0
34,29002952.03212338,2,0.0,1583278.9231115417,5237875802,53.70645754470619,120.0,3,8.989394915761554e+18,33133276.780816708,71366878539751.42,2500000.0,4.501834145734752e+18,110119.44347204514,6.394286824746957e-10,0,0,1,0.0,0.0,0
35,0.0,0,0.0,1586337.7965413206,5482875802,0.0,0.0,0,9.741589846472245e+18,33023157.337344665,70969430396869.95,2500000.0,4.877891866275809e+18,110119.44347204514,6.376096930711499e-10,0,0,1,0.0,0.0,0
36,14501476.01606169,1,0.0,1583102.6265613507,5713374326,30.752841519532176,120.0,1,1.0513437146967806e+19,33139623.456623584,71002266537218.7,2500000.0,5.263818800137625e+18,110119.44347204514,6.376096930711499e-10,0,0,1,0.0,0.0,0
37,0.0,0,0.0,1586161.6644573295,5958374326,0.0,0.0,0,1.1327261989117534e+19,33029498.092368353,70606007771091.11,2500000.0,5.670691595335877e+18,110125.36425523052,2.5249553028917557e-10,0,0,1,0.0,0.0,0
38,0.0,0,0.0,1589220.7023533077,6203374326,0.0,0.0,0,1.2172336831267262e+19,32919372.72811312,70212813711423.95,2500000.0,6.093189697004773e+18,110125.36425523052,2.561335090962673e-10,0,0,1,0.0,0.0,0
39,29002952.03212338,2,0.0,1576544.631724914,6419371374,56.23447935348643,120.0,3,1.2977568302956136e+19,33375711.2707353,71043902712011.11,2500000.0,6.49588854174927e+18,110125.36425523052,2.561335090962673e-10,0,0,1,0.0,0.0,0
40,0.0,0,0.0,1579603.669620893,6664371374,0.0,0.0,0,1.3882532879422974e+19,33265585.90648007,70652959904852.16,2500000.0,6.948331735701972e+18,110125.36425523052,2.543145196385113e-10,0,0,1,0.0,0.0,0
41,14501476.01606169,1,0.0,1576368.6641071225,6894869898,30.75230011244497,120.0,1,1.480321996848315e+19,33382046.1049758,70693336421092.1,2500000.0,7.408679317883684e+18,110125.36425523052,2.543145196385113e-10,0,0,1,0.0,0.0,0
42,0.0,0,0.0,1580075.2640783396,7139869898,0.0,0.0,0,1.5769814456389022e+19,33254436.56468913,70264197993663.805,2500000.0,7.891933647993878e+18,133437.59896381822,2.6249997195446767e-10,0,0,1,0.0,0.0,0
43,0.0,0,0.0,1583781.864049557,7384869898,0.0,0.0,0,1.6767658944294896e+19,33126827.02440246,69838328070303.62,2500000.0,8.390813304954479e+18,133437.59896381822,2.661379507615594e-10,0,0,1,0.0,0.0,0
44,29002952.03212338,2,0.0,1571753.3554964017,7600866946,45.56229555254366,120.0,3,1.7713449904552036e+19,33565681.3909932,70688623235814.78,2500000.0,8.8637938145996e+18,133437.59896381822,2.670474454633323e-10,0,0,1,0.0,0.0,0
45,0.0,0,0.0,1575459.955467619,7845866946,0.0,0.0,0,1.8771184126775017e+19,33444896.641011357,70263384751482.76,2500000.0,9.392618401862656e+18,133437.59896381822,2.6431896135801353e-10,0,0,1,0.0,0.0,0
46,14501476.01606169,1,0.0,1572872.512029087,8076365470,30.752259238502333,120.0,1,1.984071100439981e+19,33543872.66347565,70271306371802.75,2500000.0,9.927382632837085e+18,133437.59896381822,2.6431896135801353e-10,0,0,1,0.0,0.0,0
47,0.0,0,0.0,1576579.1120003043,8321365470,0.0,0.0,0,2.096007513806183e+19,33416263.12318898,69847506550515.766,2500000.0,1.0487022319685966e+19,133437.59896381822,2.6522845605978645e-10,0,0,1,0.0,0.0,0
48,0.0,0,0.0,1580285.7119715214,8566365470,0.0,0.0,0,2.2110689271723848e+19,33288653.582902305,69426975233296.88,2500000.0,1.1062287333385253e+19,133437.59896381822,2.6886643486687817e-10,0,0,1,0.0,0.0,0
49,29002952.03212338,2,0.0,1568257.2034183661,8782362518,46.590555497412836,120.0,3,2.3197039720549257e+19,33734695.90488959,70330273907390.625,2500000.0,1.1605552887665367e+19,133437.59896381822,2.6886643486687817e-10,0,0,1,0.0,0.0,0
50,0.0,0,0.0,1571963.8033895832,9027362518,0.0,0.0,0,2.440754358852838e+19,33623044.95112399,69909936511262.64,2500000.0,1.2210762787915317e+19,133437.59896381822,5.405662316425655e-11,0,0,1,0.0,0.0,0
51,14501476.01606169,1,0.0,1569376.3599510517,9257861042,30.75273914229281,120.0,1,2.5625910254717792e+19,33722020.97358829,69926333164086.375,2500000.0,1.2819947760675305e+19,133437.59896381822,5.405662316425655e-11,0,0,1,0.0,0.0,0
