t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow,cg_iters,cg_columns,cg_converged,obj_lp,obj_greedy,key_blocked_edges
0,0.0,0,2109375.0,2473415.798611111,245000000,0.8678509182845753,0.9476988686844755,0,1.5625e+16,190625.0,36337890625.0,190625.0,7816133789062500.0,7200000.0,0.0,0,0,1,0.0,0.0,0
1,0.0,0,2109375.0,2420247.3958333335,490000000,1.8678509182845755,1.9476988686844754,0,3.43e+16,381250.0,72675781250.0,190625.0,1.7157267578125e+16,7200000.0,0.0,0,0,1,0.0,0.0,0
2,0.0,0,1718750.0,2350260.4166666665,735000000,2.946295861057342,3.1629597325192615,0,7.2425e+16,792187.5,144768066406.25,190625.0,3.622697680664062e+16,7200000.0,0.0,0,0,1,0.0,0.0,0
3,0.0,0,1406250.0,2269422.7430555555,980000000,4.060483745148617,4.421211582874401,0,1.3985e+17,1652343.75,632168579101.5625,581250.0,6.998821685791016e+16,7200000.0,0.0,0,0,1,0.0,0.0,0
4,0.0,0,546875.0,2188717.1236265716,1225000000,4.985994052702383,7.650467716176135,0,2.49225e+17,3036311.512360858,2306091841399.916,1255468.75,1.2484310918413998e+17,7273503.950556569,0.0,0,0,1,0.0,0.0,0
5,0.0,1,0.0,2105238.2038146425,1470000000,20.177328306802316,125.0,1,2.9245752e+17,4989843.75,6874170532226.5625,1987500.0,1.4691617705322266e+17,7273503.950556569,1.0186340659856796e-10,0,0,1,0.0,0.0,0
6,0.0,2,0.0,2001776.6298265208,1715000000,30.487772716273195,126.0,2,4.9916788e+17,7365217.762360858,10006334150970.229,1987500.0,2.5058457341509702e+17,7273503.950556569,1.0186340659856796e-10,0,0,1,0.0,0.0,0
7,0.0,4,0.0,1885350.5242864257,1960000000,51.591609976982156,127.0,4,5.9214952e+17,10723437.5,17339593505859.375,2104687.5,2.978087193505859e+17,7273503.950556569,1.0186340659856796e-10,0,0,1,0.0,0.0,0
8,0.0,5,0.0,1733105.9107395536,2205000000,51.37823188191896,128.0,5,4.7947316e+17,15374592.762341535,23165998457604.195,2104687.5,2.4205317984576042e+17,7273503.950633861,1.1641532182693481e-10,0,0,1,0.0,0.0,0
9,80000000.0,6,0.0,1603355.1524238277,2370000000,51.94604041918374,129.0,6,6.3741536e+17,18820686.512341537,28048909728595.15,2300000.0,3.215125709728595e+17,7273503.950633861,0.0,0,0,1,0.0,0.0,0
10,0.0,6,0.0,1451041.5774540333,2615000000,53.27246445188452,130.0,7,8.1733076e+17,23108894.581401117,33558339073175.113,2300000.0,4.120212139073175e+17,7291519.386563904,6.821210263296962e-11,0,0,1,0.0,0.0,0
11,0.0,7,0.0,1339391.0743030305,2860000000,59.648435383961925,131.0,7,7.9344064e+17,26311171.880767256,41038455480286.15,2300000.0,4.008241655480286e+17,7291519.386563904,6.821210263296962e-11,0,0,1,0.0,0.0,0
12,120000000.0,11,0.0,1123506.4379724774,2985000000,65.89012535612558,132.0,11,8.546259588327164e+17,32322253.06616126,55175543094717.3,2300000.0,4.3283053372582995e+17,7291519.386563904,6.821210263296962e-11,0,0,1,0.0,0.0,0
13,232234022.70474982,14,0.0,959598.99037703,2997765978,79.11199220218846,133.0,15,7.597222672407186e+17,36739190.47450991,62873370698938.836,2300000.0,3.861484706902532e+17,7291519.386563904,6.821210263296962e-11,0,0,1,0.0,0.0,0
14,0.0,13,0.0,845540.3151651851,3242765978,87.76227450922039,134.0,14,9.905071714922911e+17,40449238.858212374,70529087754964.1,2191879.9382150345,5.023064945216419e+17,7291519.386563904,6.821210263296962e-11,0,0,1,0.0,0.0,0
15,0.0,16,0.0,694491.6390049701,3487765976,95.61040366927821,135.0,18,1.0230427311149432e+18,45585705.71285769,81081299454139.11,2300000.0,5.196294955028855e+17,7291519.386563904,6.821210263296962e-11,0,0,1,0.0,0.0,0
16,619185559.9774327,19,0.0,580261.028189684,3113580418,100.86588279801097,136.0,21,5.552501000562972e+17,48995756.00309071,87207167169046.39,2300000.0,2.8634576674505325e+17,7291519.386563904,4.547473508864641e-11,0,0,1,0.0,0.0,0
17,102400000.0,21,0.0,537894.3860279925,3256180419,103.5813817516953,137.0,21,6.354246083966461e+17,50723123.38060229,91441411273718.14,2300000.0,3.268564453256949e+17,7291519.386563904,6.821210263296962e-11,0,0,1,0.0,0.0,0
18,341361221.24901855,23,0.0,467728.74288222595,3159819197,100.3107202441855,138.0,24,5.184433261685485e+17,52671966.38049086,96928804664852.3,2300000.0,2.6891454355075946e+17,7291519.386563904,6.821210263296962e-11,0,0,1,0.0,0.0,0
19,102400000.0,20,0.0,439451.63371147565,3302419197,102.87071995524298,139.0,22,5.4816196279440634e+17,53694446.16962038,97655384203079.25,2300000.0,2.838465198175111e+17,7291519.386563904,3.019522409886122e-10,0,0,1,0.0,0.0,0
20,340297931.8659636,19,0.0,365912.0414077333,3207121265,99.19252756709538,140.0,24,6.749513485481692e+17,55946375.351537615,101187618784432.66,2300000.0,3.475944361525279e+17,7291519.386563904,4.547473508864641e-11,0,0,1,0.0,0.0,0
21,51200000.0,22,0.0,349018.3702415673,3400921265,114.26880625991046,141.0,24,4.959798321869445e+17,56559051.3725021,102978664224322.05,2300000.0,2.5828778251590445e+17,7291519.386563904,4.638422979041934e-11,0,0,1,0.0,0.0,0
22,306907987.96812135,23,0.0,318303.9642924763,3339013276,111.64988485016143,142.0,25,6.697870149769448e+17,57669273.845651895,104729463004135.47,2300000.0,3.4536645378888595e+17,7291519.386563904,4.547473508864641e-11,0,0,1,0.0,0.0,0
23,102400000.0,22,0.0,320891.20634339843,3481613276,116.99959777392422,143.0,25,6.091077511730218e+17,57606555.17561414,104592167706370.12,2300000.0,3.150130923571479e+17,7291519.386563904,1.6279955161735415e-10,0,0,1,0.0,0.0,0
24,102400000.0,23,0.0,310424.12740325846,3624213275,101.83233890110886,144.0,23,8.066459650073562e+17,57783370.017459184,104306402317743.33,2300000.0,4.137536227354524e+17,7291519.386563904,4.547473508864641e-11,0,0,1,0.0,0.0,0
25,0.0,22,0.0,331451.4240836662,3869213276,115.60562247240689,145.0,24,6.874781422161121e+17,57195207.0649862,104284963218449.55,2300000.0,3.54167567429901e+17,7304597.171245153,6.116557919877419e-10,0,0,1,0.0,0.0,0
26,51200000.0,21,0.0,328290.4532533229,4063013276,107.89949522044222,146.0,24,8.429705604618447e+17,57513741.37517041,103978381990055.97,2300000.0,4.3188311842992794e+17,7304597.171245153,5.184119800105691e-10,0,0,1,0.0,0.0,0
27,0.0,21,0.0,347877.9847582665,4308013276,103.06442651848288,147.0,22,8.392966509146122e+17,56808590.24099244,101794805988474.16,2300000.0,4.2982780605615354e+17,7304597.171245153,2.701611365174565e-10,0,0,1,0.0,0.0,0
28,102400000.0,22,0.0,347065.9351490825,4450613273,114.85244683789145,148.0,26,8.859252563815489e+17,56990117.25356558,103891834960656.08,2300000.0,4.5335181168684006e+17,7315819.254766024,3.1334152980622293e-10,0,0,1,0.0,0.0,0
29,235222472.30312788,23,0.0,359483.13243353064,4460390802,110.94644298939325,149.0,24,9.484308587664006e+17,56849340.072788924,103876100088226.44,2300000.0,4.84603039392023e+17,7315819.254766024,3.278934450345898e-10,0,0,1,0.0,0.0,0
30,105685737.74745584,25,0.0,378848.76023424265,4599705064,117.29662610795529,150.0,26,9.051761990072224e+17,56180758.1299408,103478238299065.08,2300000.0,4.629359233335177e+17,7315819.254766024,3.351694026487732e-10,0,0,1,0.0,0.0,0
31,202304228.37166688,23,0.0,404714.8435271567,4642400835,120.84059867321754,151.0,25,1.0300593239880778e+18,55650255.36758025,102382165379242.05,2300000.0,5.2526787853196314e+17,7315819.254766024,2.987896145778561e-10,0,0,1,0.0,0.0,0
32,53189960.00189763,27,0.0,398976.4444118149,4834210876,117.40985173436587,152.0,27,1.0386520908065029e+18,55869298.51698997,103089095892425.6,2300000.0,5.29634954992494e+17,7315819.254766024,3.001332515850678e-10,0,0,1,0.0,0.0,0
33,261422478.42035294,25,0.0,410027.3085047009,4817788397,115.3419864725925,153.0,26,1.090291887228559e+18,55694053.26165189,102348956643735.17,2300000.0,5.55380839278653e+17,7332693.583205869,6.548361852765231e-11,0,0,1,0.0,0.0,0
34,105469910.90482268,25,0.0,422981.38472170406,4957318485,121.25049650144835,154.0,27,1.0442621165649976e+18,55439698.381207146,102090531320559.7,2300000.0,5.323401114145548e+17,7332693.583205869,6.548361852765231e-11,0,0,1,0.0,0.0,0
35,102400000.0,23,0.0,458620.99615497753,5099918484,123.74472770612357,155.0,26,1.0949643099199695e+18,54466051.10777817,100117594561209.94,2300000.0,5.574939144161058e+17,7332693.583205869,6.548361852765231e-11,0,0,1,0.0,0.0,0
36,214492389.32517564,24,0.0,471194.74287117936,5130426096,118.41642565974101,156.0,27,1.1198604282194738e+18,54213396.22599491,100466088871652.06,2300000.0,5.699768229969021e+17,7332693.583205869,6.548361852765231e-11,0,0,1,0.0,0.0,0
37,307199901.99399984,25,0.0,471277.75161565776,5068226194,118.94912080890052,157.0,26,1.07500854753399e+18,54503737.50920433,101013312804289.55,2300000.0,5.4760560504742394e+17,7332695.114549622,6.548361852765231e-11,0,0,1,0.0,0.0,0
38,207822362.06267762,24,0.0,484242.123995621,5105403832,123.3453199041492,158.0,26,1.1878780304660733e+18,54322274.35654701,101615876276957.47,2300000.0,6.041006028607324e+17,7332695.114549622,1.1459633242339043e-10,0,0,1,0.0,0.0,0
39,307200000.0,25,0.0,478863.4147015001,5043203833,123.70033103685233,159.0,27,1.1269410209049861e+18,55127899.754502736,103489229990274.2,2300000.0,5.7381943345152045e+17,7332695.114549622,8.549250196665673e-11,0,0,1,0.0,0.0,0
40,130469917.02204773,24,0.0,518436.69162252214,5157733915,126.36041938995533,160.0,25,1.1317566419461162e+18,54207681.175646305,101309398233317.53,2210879.5594806145,5.760092607963899e+17,7332695.114549622,9.458744898438601e-11,0,0,1,0.0,0.0,0
41,210222466.18590283,25,0.0,556689.9850804687,5192511449,125.20917412311925,161.0,25,1.1113717750812671e+18,53642554.47452761,100418706760990.77,2300000.0,5.657277582167326e+17,7332695.114549622,9.629452790704965e-11,0,0,1,0.0,0.0,0
42,312639883.0332437,23,0.0,607813.2411239132,5124871565,123.12566710043997,162.0,24,1.118316050933045e+18,52632414.89251258,98748245809453.45,2300000.0,5.6903285004746784e+17,7332830.370206775,3.3222136153199394e-10,0,0,1,0.0,0.0,0
43,261422466.18590283,24,0.0,638022.1723644756,5108449099,120.6899169082426,163.0,25,1.1413676477613247e+18,52573598.408501364,98842967295428.0,2300000.0,5.805681206102052e+17,7332830.370206775,2.3796076220605905e-10,0,0,1,0.0,0.0,0
44,221093257.4034318,22,0.0,667051.5339769534,5132355841,119.65703601133517,164.0,23,1.2344327721025265e+18,52727757.852874555,97895256328857.0,2300000.0,6.27005911684149e+17,7332830.370206775,2.3796076220605905e-10,0,0,1,0.0,0.0,0
45,277090936.9595524,25,0.0,694645.6668084587,5100264906,132.47705082813448,165.0,26,1.1859519623690993e+18,52840739.6769047,99211404852203.73,2300000.0,6.0289712166977e+17,7332830.370206775,4.0381564758718164e-10,0,0,1,0.0,0.0,0
46,261439778.9100185,21,0.0,722954.8803713867,5083825127,123.82227075014973,166.0,22,1.3011956688899487e+18,52454781.36054536,97100895783181.83,2300000.0,6.603079240232925e+17,7332830.370206775,2.0885693174932532e-10,0,0,1,0.0,0.0,0
47,215162300.22999832,23,0.0,734438.4014075845,5113662827,125.45478255865982,167.0,25,1.3481306639622418e+18,52458093.25581227,98383724003457.19,2300000.0,6.839037043814666e+17,7332830.370206775,2.7434055027697763e-10,0,0,1,0.0,0.0,0
48,233137865.17111173,23,0.0,759262.5766638748,5125524963,123.53082237372033,168.0,25,1.3790115086544963e+18,52166506.24806079,97411762977263.47,2300000.0,6.992469306249745e+17,7332830.370206775,1.9579715626605468e-10,0,0,1,0.0,0.0,0
49,57339938.16732068,24,0.0,787838.6559573006,5313185022,131.8559635379323,169.0,25,1.3570103722090803e+18,51961785.34087785,97573672129009.55,2300000.0,6.882625533174412e+17,7332830.370206775,3.3222136153199394e-10,0,0,1,0.0,0.0,0
50,312639674.7867933,19,0.0,843470.9912125365,5245545349,129.7957681727584,170.0,22,1.3276239545939228e+18,51096535.51206702,95506528923884.98,2300000.0,6.733626301893499e+17,7332830.370206775,3.4302338747238687e-10,0,0,1,0.0,0.0,0
51,159739834.04409546,25,0.0,855427.0187260542,5330805513,124.10703729877882,171.0,25,1.4070506149468905e+18,51810040.10503181,97679528366659.69,2300000.0,7.132932603101112e+17,7332830.370206775,3.394973191461788e-10,0,0,1,0.0,0.0,0
