t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow,cg_iters,cg_columns,cg_converged,obj_lp,obj_greedy,key_blocked_edges
0,245000000.0,0,2109375.0,2425672.7430555555,0,0.8678816811621574,0.9476988686844755,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7200000.0,0.0,0,0,1,0.0,0.0,0
1,245000000.0,0,1718750.0,2351345.486111111,0,1.9553749264829172,2.1629597325192615,0,0.0,1143750.0,436054687500.0,381250.0,43605468750000.0,7200000.0,0.0,0,0,1,0.0,0.0,0
2,245000000.0,0,1328125.0,2277018.2291666665,0,3.0760090197024463,3.5047493651838613,0,0.0,1715625.0,981123046875.0,571875.0,98112304687500.0,7200000.0,0.0,0,0,1,0.0,0.0,0
3,245000000.0,0,1137500.0,2219357.638888889,0,4.184985372071511,4.756697408871322,0,0.0,2287500.0,1744218750000.0,762500.0,174421875000000.0,7200000.0,0.0,0,0,1,0.0,0.0,0
4,245000000.0,0,946875.0,2163738.8250154606,0,4.752235262721685,6.109982856389292,0,0.0,2859375.0,2725341796875.0,953125.0,272534179687500.0,7273503.950556569,2.0372681319713593e-10,0,0,1,0.0,0.0,0
5,245000000.0,0,756250.0,2119231.1222531428,0,5.771012413499752,7.641135688345988,0,0.0,3431250.0,3924492187500.0,1143750.0,392449218750000.0,7273503.950556569,2.0372681319713593e-10,0,0,1,0.0,0.0,0
6,245000000.0,0,565625.0,2091390.0861574917,0,6.837023000426752,9.529671299360247,0,0.0,4003125.0,5341669921875.0,1334375.0,534166992187500.0,7273503.950556569,2.0372681319713593e-10,0,0,1,0.0,0.0,0
7,245000000.0,0,375000.0,2063549.050061841,0,8.100089511977595,12.319148936170212,0,0.0,4575000.0,6976875000000.0,1525000.0,697687500000000.0,7273503.950556569,2.0372681319713593e-10,0,0,1,0.0,0.0,0
8,245000000.0,0,184375.0,2045315.4941042576,0,10.13526348843658,18.78894133513149,0,0.0,5146875.0,8830107421875.0,1715625.0,883010742187500.0,7273712.15412563,2.6921043172478676e-10,0,0,1,0.0,0.0,0
9,243400000.0,1,0.0,2034667.7414410806,1600000,34.38960309441116,129.0,3,2560000000000.0,5700000.0,10830000000000.0,1900000.0,1084280000000000.0,7273712.15412563,2.6921043172478676e-10,0,0,1,0.0,0.0,0
10,196200000.0,1,0.0,2055794.9453032075,50400000,33.780677406937755,130.0,3,2540160000000000.0,5699999.518583083,10829998170615.945,1900000.0,2353079817061594.5,7273714.079793299,2.884347205522886e-10,0,0,1,0.0,0.0,0
11,196200000.0,1,0.0,2077178.4961307992,99200000,34.46055835087855,131.0,3,9840640000000000.0,5699999.037166165,10829996341232.355,1900000.0,6003319634123236.0,7273714.079793299,2.884347205522886e-10,0,0,1,0.0,0.0,0
12,196200000.0,1,0.0,2098562.0469583906,148000000,35.143554144667505,132.0,3,2.1904e+16,5699998.555749249,10829994511849.23,1900000.0,1.2034999451184924e+16,7273714.079793299,2.8843483157459104e-10,0,0,1,0.0,0.0,0
13,196200000.0,1,0.0,2120475.12532117,196800000,33.971729000420034,133.0,3,3.873024e+16,5699998.074332331,10829992682466.566,1900000.0,2.0448119268246656e+16,7292777.071060056,5.212654752284607e-10,0,0,1,0.0,0.0,0
14,196200000.0,1,0.0,2142388.203683949,245600000,34.51655282308176,134.0,3,6.031936e+16,5699997.592915414,10829990853084.367,1900000.0,3.1242679085308436e+16,7292777.071060056,4.230400474369844e-10,0,0,1,0.0,0.0,0
15,196200000.0,1,0.0,2164301.282046729,294400000,35.063439613562615,135.0,3,8.667136e+16,5699997.111498497,10829989023702.633,1900000.0,4.4418678902370264e+16,7292777.071060056,4.230400474369844e-10,0,0,1,0.0,0.0,0
16,196200000.0,1,0.0,2186214.360409508,343200000,35.61213972365705,136.0,3,1.1778624e+17,5699996.63008158,10829987194321.36,1900000.0,5.9976118719432136e+16,7292777.071060056,4.038157586094826e-10,0,0,1,0.0,0.0,0
17,196200000.0,1,0.0,2208127.438772287,392000000,36.16244369690434,137.0,3,1.53664e+17,5699996.148664663,10829985364940.55,1900000.0,7.791499853649405e+16,7292777.071060056,4.038157586094826e-10,0,0,1,0.0,0.0,0
18,196200000.0,1,0.0,2230040.517135067,440800000,36.714174335094405,138.0,3,1.9430464e+17,5699995.667247745,10829983535560.205,1900000.0,9.823531835355602e+16,7292777.071060056,4.0381564758718014e-10,0,0,1,0.0,0.0,0
19,196200000.0,1,0.0,2251953.595497846,489600000,37.26718059393903,139.0,3,2.3970816e+17,5699995.185830828,10829981706180.324,1900000.0,1.2093707817061803e+17,7292777.071060056,4.0381564758718014e-10,0,0,1,0.0,0.0,0
20,196200000.0,1,0.0,2273866.6738606254,538400000,37.821332830583124,140.0,3,2.8987456e+17,5699994.704413911,10829979876800.906,1900000.0,1.460202779876801e+17,7292777.071060056,4.0381564758718014e-10,0,0,1,0.0,0.0,0
21,196200000.0,1,0.0,2295779.7522234046,587200000,38.376519063554056,141.0,3,3.4480384e+17,5699994.222996994,10829978047421.951,1900000.0,1.734849178047422e+17,7292777.071060056,4.0381564758718014e-10,0,0,1,0.0,0.0,0
22,196200000.0,1,0.0,2317692.8305861843,636000000,38.932642000242865,142.0,3,4.04496e+17,5699993.7415800765,10829976218043.459,1900000.0,2.0333099762180435e+17,7292777.071060056,4.0381564758718014e-10,0,0,1,0.0,0.0,0
23,196200000.0,1,0.0,2339605.9089489635,684800000,39.48961665279936,143.0,3,4.6895104e+17,5699993.26016316,10829974388665.432,1900000.0,2.3555851743886653e+17,7292777.071060056,4.0381564758718014e-10,0,0,1,0.0,0.0,0
24,196200000.0,1,0.0,2361518.9873117423,733600000,40.04736840980315,144.0,3,5.3816896e+17,5699992.778746243,10829972559287.867,1900000.0,2.701674772559288e+17,7292777.071060056,4.0381564758718014e-10,0,0,1,0.0,0.0,0
25,196200000.0,1,0.0,2385240.7127708737,782400000,40.60546117500026,145.0,3,6.1214976e+17,5689529.375016068,10790321259048.613,1900000.0,3.0715391212590483e+17,7357888.366528697,4.0381564758718014e-10,0,0,1,0.0,0.0,0
26,196200000.0,1,0.0,2408962.438230003,831200000,39.10585535112686,146.0,3,6.9089344e+17,5679065.971285894,10750888924444.598,1900000.0,3.465218088924445e+17,7357888.366528697,4.0381564758718014e-10,0,0,1,0.0,0.0,0
27,196200000.0,1,0.0,2432966.4157611523,880000000,33.70452881684766,147.0,3,7.744e+17,5668602.567555719,10711675555475.824,1900000.0,3.882711675555476e+17,7368049.441121342,8.021743269637227e-10,0,0,1,0.0,0.0,0
28,196200000.0,1,0.0,2457422.1642722692,928800000,33.044947445694774,148.0,3,8.6266944e+17,5658139.1638255445,10672681152142.293,1900000.0,4.324019881152142e+17,7384313.196400229,1.2860255083069205e-09,0,0,1,0.0,0.0,0
