t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow,cg_iters,cg_columns,cg_converged,obj_lp,obj_greedy,key_blocked_edges
0,0.0,0,2109375.0,2473415.798611111,245000000,0.8678509182845753,0.9476988686844755,0,1.5625e+16,190625.0,36337890625.0,190625.0,7816133789062500.0,7200000.0,0.0,0,0,1,0.0,0.0,0
1,0.0,0,2109375.0,2420247.3958333335,490000000,1.8678509182845755,1.9476988686844754,0,3.43e+16,381250.0,72675781250.0,190625.0,1.7157267578125e+16,7200000.0,0.0,0,0,1,0.0,0.0,0
2,0.0,0,1718750.0,2350260.4166666665,735000000,2.946295861057342,3.1629597325192615,0,7.2425e+16,792187.5,144768066406.25,190625.0,3.622697680664062e+16,7200000.0,0.0,0,0,1,0.0,0.0,0
3,0.0,0,1406250.0,2269422.7430555555,980000000,4.060483745148617,4.421211582874401,0,1.3985e+17,1652343.75,632168579101.5625,581250.0,6.998821685791016e+16,7200000.0,0.0,0,0,1,0.0,0.0,0
4,0.0,0,546875.0,2188717.1236265716,1225000000,4.985994052702383,7.650467716176135,0,2.49225e+17,3036311.512360858,2306091841399.916,1255468.75,1.2484310918413998e+17,7273503.950556569,0.0,0,0,1,0.0,0.0,0
5,0.0,1,0.0,2105238.2038146425,1470000000,20.177328306802316,125.0,1,2.9245752e+17,4989843.75,6874170532226.5625,1987500.0,1.4691617705322266e+17,7273503.950556569,1.0186340659856796e-10,0,0,1,0.0,0.0,0
6,0.0,2,0.0,2001776.6298265208,1715000000,30.487772716273195,126.0,2,4.9916788e+17,7365217.762360858,10006334150970.229,1987500.0,2.5058457341509702e+17,7273503.950556569,1.0186340659856796e-10,0,0,1,0.0,0.0,0
7,0.0,4,0.0,1885350.5242864257,1960000000,51.591609976982156,127.0,4,5.9214952e+17,10723437.5,17339593505859.375,2104687.5,2.978087193505859e+17,7273503.950556569,1.0186340659856796e-10,0,0,1,0.0,0.0,0
8,0.0,5,0.0,1733111.6941698806,2205000000,51.37822824769779,128.0,5,4.7947316e+17,15374540.711468592,23165980528890.58,2104687.5,2.4205317805288906e+17,7273712.15412563,4.0381564758718014e-10,0,0,1,0.0,0.0,0
9,80000000.0,6,0.0,1603366.7192844814,2370000000,51.946038158812534,129.0,6,6.3741536e+17,18820634.461468592,28048902942021.52,2300000.0,3.215125702942022e+17,7273712.15412563,4.0381564758718014e-10,0,0,1,0.0,0.0,0
10,0.0,6,0.0,1450558.5524599478,2615000000,53.27270133750503,130.0,7,8.1733076e+17,23117693.133040536,33561083342225.156,2300000.0,4.120214883342225e+17,7273714.079793299,4.614885140696856e-10,0,0,1,0.0,0.0,0
11,0.0,7,0.0,1338413.4574542062,2860000000,59.6492213894496,131.0,7,7.9344064e+17,26319762.228914905,41042439243791.71,2300000.0,4.008245639243792e+17,7273714.079793299,3.2688329820729223e-10,0,0,1,0.0,0.0,0
12,120000000.0,11,0.0,1122034.2292689139,2985000000,65.89085139860858,132.0,11,8.546825217388164e+17,32344301.496132746,55182310891492.58,2300000.0,4.3285949195855744e+17,7273714.079793299,2.2865787041581598e-10,0,0,1,0.0,0.0,0
13,232287322.7986427,14,0.0,958161.7173539153,2997712678,79.11231688315475,133.0,15,7.59654735251222e+17,36746995.827790655,62871623698394.54,2300000.0,3.8611452999545043e+17,7292777.071060056,2.1150237117240067e-10,0,0,1,0.0,0.0,0
14,0.0,13,0.0,843860.2013366898,3242712678,87.75932258315908,134.0,14,9.90600475290833e+17,40438503.844842166,70490319640672.17,2191931.9890879756,5.023492696094837e+17,7292777.071060056,2.1150237117240067e-10,0,0,1,0.0,0.0,0
15,0.0,16,0.0,692826.218850779,3487712677,95.58735702337536,135.0,18,1.025686540733749e+18,45542918.08425337,80982155317705.08,2300000.0,5.20941485898645e+17,7292777.071060056,1.2964784801283713e-10,0,0,1,0.0,0.0,0
16,612091896.730042,19,0.0,579353.5765748662,3120620779,100.86013177145391,136.0,21,5.595938306128126e+17,48953170.230319,87114430417179.19,2300000.0,2.885083583481242e+17,7292777.071060056,2.8868452073282924e-10,0,0,1,0.0,0.0,0
17,102400000.0,21,0.0,535930.9584966998,3263220779,100.52282726969017,137.0,21,6.389916531988494e+17,50704364.23102764,91403389642008.98,2300000.0,3.286361655636256e+17,7292777.071060056,1.1769951679951873e-10,0,0,1,0.0,0.0,0
18,337358522.01717794,24,0.0,465283.3189290913,3170862259,97.38989283684677,138.0,24,5.19971252601348e+17,52666107.29399296,96891148847676.56,2300000.0,2.6967474118544163e+17,7292777.071060056,2.5048574325836626e-10,0,0,1,0.0,0.0,0
19,102400000.0,21,0.0,431134.7116744586,3313462258,104.02340556987988,139.0,23,5.844168346404324e+17,53890692.37017688,98432692393977.62,2300000.0,3.0205168655961395e+17,7292777.071060056,1.9227808234489885e-10,0,0,1,0.0,0.0,0
20,317794243.36964613,20,0.0,356564.1879782194,3240668013,96.66373303790706,140.0,24,6.79955232541941e+17,56175231.70465841,101572956927074.22,2300000.0,3.501349119636779e+17,7292777.071060056,5.45162026632795e-10,0,0,1,0.0,0.0,0
21,52420031.44107245,24,0.0,340179.5800361692,3433247982,113.57203166607663,141.0,24,5.152956945632181e+17,56765078.071989134,103383032103689.75,2300000.0,2.6798615049197805e+17,7292777.071060056,7.846634453301249e-11,0,0,1,0.0,0.0,0
22,103620154.68380326,23,0.0,291138.10127457266,3574627828,98.84538402495478,142.0,24,7.507743023928081e+17,58330571.30740661,106200898525189.1,2300000.0,3.8600724104892294e+17,7292777.071060056,4.8328119284235527e-11,0,0,1,0.0,0.0,0
23,51200000.0,24,0.0,287490.32275058044,3768427828,111.3869206116937,143.0,25,6.58472952839392e+17,58491303.13144843,107112746839799.36,2300000.0,3.399477511036759e+17,7292777.071060056,4.8328119284235527e-11,0,0,1,0.0,0.0,0
24,261937609.30511275,24,0.0,286488.04783519334,3751490217,105.49055717655278,144.0,25,7.592743664787107e+17,58694387.8939966,107403837728414.17,2300000.0,3.9037756701219674e+17,7292777.071060056,1.9224288827501823e-11,0,0,1,0.0,0.0,0
25,51200000.0,25,0.0,299598.6097340192,3945290218,112.55898850482299,145.0,25,6.479767736290738e+17,58468147.53165327,107550352903283.1,2300000.0,3.347434221048652e+17,7357888.366528697,1.3460521586239338e-10,0,0,1,0.0,0.0,0
26,119562676.08118424,24,0.0,320817.5197849816,4070727544,116.37952812044976,146.0,26,7.844039378222067e+17,57928392.46426351,106178301607641.78,2300000.0,4.028197990718675e+17,7357888.366528697,1.6552803572267294e-10,0,0,1,0.0,0.0,0
27,51850308.77392926,26,0.0,340028.11630729487,4263877234,116.77387946741861,147.0,26,7.212183704887858e+17,57447274.393190406,105004504488564.84,2300000.0,3.711096356932494e+17,7368049.441121342,4.997673386242241e-10,0,0,1,0.0,0.0,0
28,205450308.77392927,24,0.0,339003.55164946953,4303426926,111.11472557815766,148.0,26,9.255415158483895e+17,57669013.053533256,106281752762986.27,2300000.0,4.733989332004934e+17,7384313.196400229,3.3242031349800527e-10,0,0,1,0.0,0.0,0
29,0.0,24,0.0,361270.43801163574,4548426927,117.96288979978871,149.0,25,8.399193718967672e+17,57275525.8234165,104595299705374.98,2300000.0,4.304192159189211e+17,7384313.196400229,3.178683982696384e-10,0,0,1,0.0,0.0,0
30,454019444.9800302,26,0.0,346663.1568777016,4339407482,114.09057317252896,150.0,28,9.611917113659489e+17,58131052.03536627,106706918475803.62,2300000.0,4.912665475305548e+17,7384313.196400229,3.3014657674357295e-10,0,0,1,0.0,0.0,0
31,0.0,25,0.0,367376.5807934434,4584407481,115.29213233448756,151.0,27,8.906069169873382e+17,57603059.946777895,105094130151782.05,2300000.0,4.558128715088473e+17,7384313.196400229,3.178683982696384e-10,0,0,1,0.0,0.0,0
32,267196307.01852453,25,0.0,363711.48261541215,4562211173,115.10615873704467,152.0,28,1.0775082249684268e+18,57930120.487729914,106638520920987.1,2300000.0,5.4941796457631206e+17,7384313.196400229,9.958966984413564e-11,0,0,1,0.0,0.0,0
33,45883325.07011522,27,0.0,391135.57840434555,4761327847,125.52303261045368,153.0,28,9.837509401992471e+17,57175843.31616395,105517771817981.16,2300000.0,5.024272472814217e+17,7401187.524840075,5.434230843093246e-10,0,0,1,0.0,0.0,0
34,325892927.4297819,27,0.0,388156.13244845555,4680434920,117.05521325292457,154.0,28,1.0074289095166538e+18,57283103.37057599,105338019987963.98,2300000.0,5.142482567571233e+17,7401187.524840075,3.2514435588382185e-10,0,0,1,0.0,0.0,0
35,52500617.54785852,25,0.0,433033.3169571881,4872934303,127.3722302905093,155.0,26,9.624471320625277e+17,56017149.45177022,103072525033411.14,2300000.0,4.91530818534605e+17,7401187.524840075,3.2514435588382185e-10,0,0,1,0.0,0.0,0
36,271226561.2738264,26,0.0,442059.82803623594,4846707743,123.38544908058422,156.0,27,1.1301488186278189e+18,56309417.307412796,105108279342135.66,2300000.0,5.75585237248123e+17,7401187.524840075,3.2514435588382185e-10,0,0,1,0.0,0.0,0
37,105758955.0128009,26,0.0,476498.2017717951,4985948788,128.96426381951585,157.0,26,1.0237175415254493e+18,55468920.74926298,103582892249765.88,2300000.0,5.2221705998770125e+17,7401187.524840075,3.2514435588382185e-10,0,0,1,0.0,0.0,0
38,275550661.7924577,26,0.0,502228.61912116664,4955398124,124.41301832264384,158.0,26,1.1255603679281501e+18,55140708.73315252,102759837844912.36,2300000.0,5.7305616774856634e+17,7401187.524840075,3.2514435588382185e-10,0,0,1,0.0,0.0,0
39,53908646.23887165,26,0.0,528672.7159457171,5146489477,129.42911597346395,159.0,27,1.0652607445961352e+18,54822813.84847323,102975991072704.08,2300000.0,5.42927971405338e+17,7401187.524840075,5.557012627832592e-10,0,0,1,0.0,0.0,0
40,158008897.14900404,24,0.0,539959.6790444317,5233480582,127.2201055774261,160.0,27,1.2951915363737756e+18,55023124.78203721,102695312931680.92,2300000.0,6.578652994800559e+17,7401187.524840075,5.434230843093246e-10,0,0,1,0.0,0.0,0
41,56958458.2018891,26,0.0,579848.7228443755,5421522122,131.5983255352078,161.0,27,1.1462368408499936e+18,54404341.45972753,101972489643956.38,2300000.0,5.833156693893924e+17,7401187.524840075,5.725269147660583e-10,0,0,1,0.0,0.0,0
42,217580776.17666754,24,0.0,613956.5961254581,5448941348,119.09685233691708,162.0,24,1.221737463828423e+18,53576458.021608554,99703563090762.38,2300000.0,6.208390882232877e+17,7402053.705355172,5.804281499877106e-10,0,0,1,0.0,0.0,0
43,286004674.2603559,24,0.0,629221.893935758,5407936671,120.85312122689628,163.0,24,1.1545506338848952e+18,53746661.61700931,99804645572377.69,2300000.0,5.872557814996854e+17,7402053.705355172,1.3074270555080147e-09,0,0,1,0.0,0.0,0
44,164473099.67778862,24,0.0,644757.0261225052,5488463574,117.77446121999515,164.0,24,1.4853288335108703e+18,53606766.344126545,99599311815917.4,2300000.0,7.526243479370268e+17,7402053.705355172,4.5082515498506837e-10,0,0,1,0.0,0.0,0
45,103908646.23887165,26,0.0,677975.0154369577,5629554924,125.33944034382262,165.0,26,1.2692050557917627e+18,53327166.282283865,100051734707961.36,2300000.0,6.446077013666775e+17,7402053.705355172,5.007052550354274e-10,0,0,1,0.0,0.0,0
46,365628414.49380815,21,0.0,701127.7720463754,5508926513,113.55104423951182,166.0,23,1.3648203913680264e+18,52762190.989529915,98417805149081.27,2300000.0,6.922519761989213e+17,7402053.705355172,4.967546374246012e-10,0,0,1,0.0,0.0,0
47,53908646.23887165,25,0.0,698998.2074309202,5700017865,127.6153569919807,167.0,27,1.3882100143389578e+18,53643264.626662254,101391833089339.97,2300000.0,7.042441904784129e+17,7402053.705355172,4.3854697651113383e-10,0,0,1,0.0,0.0,0
48,271238747.00388384,26,0.0,711675.7305151331,5673779121,116.79111731664672,168.0,26,1.4997220867432282e+18,53841351.271584935,101112452584566.12,2300000.0,7.599722886300707e+17,7402053.705355172,4.3854697651113383e-10,0,0,1,0.0,0.0,0
49,151250751.10892928,24,0.0,740420.6812383804,5767528367,123.30298427524228,169.0,26,1.4434287628157274e+18,53728970.75358545,101320474420916.34,2300000.0,7.318464288499553e+17,7402053.705355172,3.680611371237319e-10,0,0,1,0.0,0.0,0
50,321295282.47002846,25,0.0,747071.3060725876,5691233085,120.10116553851017,170.0,25,1.516528922867791e+18,53793870.560424395,100217628745425.31,2300000.0,7.682862243084381e+17,7402053.705355172,4.676508069678675e-10,0,0,1,0.0,0.0,0
51,51850308.77392926,24,0.0,786502.9855038674,5884382777,132.87959965416852,171.0,25,1.443847716582476e+18,53178972.02945548,99352706489673.56,2300000.0,7.318591289402053e+17,7402053.705355172,3.389573066669982e-10,0,0,1,0.0,0.0,0
