t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey
0,245000000.0,0,2334375.0,2660980.902777778,0,0.7964987229967943,0.8563935128191404,0
1,245000000.0,0,2143750.0,2796961.8055555555,0,1.8051493692225913,1.93250961650542,0
2,245000000.0,0,1953125.0,2932942.7083333335,0,2.8185597193609215,3.0234759802980875,0
3,245000000.0,0,1762500.0,3068923.611111111,0,3.837977904954242,4.134108307343351,0
4,245000000.0,0,1571875.0,3204904.513888889,0,4.865296786758442,5.271556862433442,0
5,245000000.0,0,1381250.0,3340885.4166666665,0,5.903491764665019,6.446916259721469,0
6,245000000.0,0,1190625.0,3476866.3194444445,0,6.9574802016480195,7.678380362949754,0
7,245000000.0,0,1000000.0,3612847.222222222,0,8.035964152958949,8.998001998001998,0
8,245000000.0,0,809375.0,3748828.125,0,9.155875202702008,10.467993213018664,0
9,245000000.0,0,618750.0,3886374.1189912325,0,8.718167289562318,12.227107704719645,0
10,245000000.0,0,428125.0,4025641.368206651,0,8.995485834161029,14.66064666472473,0
11,245000000.0,0,237500.0,4164908.6174220685,0,10.658204918999157,19.38574423480084,0
12,245000000.0,0,46875.0,4210367.307085689,0,18.701460614906626,53.775456919060055,2
13,208200000.0,1,0.0,4220651.349739104,36800000,34.60494286786217,133.0,2
14,196200000.0,1,0.0,4234841.642392517,85600000,34.75541115481465,134.0,2
15,196200000.0,1,0.0,4249031.9350459315,134400000,35.09418648985538,135.0,2
16,196200000.0,1,0.0,4264172.364580239,183200000,32.63165653312021,136.0,2
17,196200000.0,1,0.0,4279312.794114548,232000000,32.96460686010537,137.0,2
18,196200000.0,1,0.0,4294453.2236488545,280800000,33.34326270302976,138.0,2
19,196200000.0,1,0.0,4309593.653183163,329600000,33.754059795311335,139.0,2
20,196200000.0,1,0.0,4325101.912664297,378400000,34.188189987760865,140.0,2
21,196200000.0,1,0.0,4338649.719365987,427200000,34.64053798758714,141.0,2
22,196200000.0,1,0.0,4350739.909125899,476000000,35.1069089150801,142.0,2
23,196200000.0,1,0.0,4360638.258608034,524800000,35.58460909092864,143.0,2
24,196200000.0,1,0.0,4369885.566423503,573600000,36.07108169005535,144.0,2
25,196200000.0,1,0.0,4379132.874238972,622400000,36.564559244573275,145.0,2
26,196200000.0,1,0.0,4386540.050493756,671200000,32.33704945388945,146.0,2
27,196200000.0,1,0.0,4393012.147264122,720000000,32.6600609078966,147.0,2
28,196200000.0,1,0.0,4398268.659330361,768800000,32.98746248397826,148.0,2
29,196200000.0,1,0.0,4402440.30656972,817600000,33.31860288201855,149.0,2
30,196200000.0,1,0.0,4406611.953809079,866400000,33.65269662969695,150.0,2
31,196200000.0,1,0.0,4411078.799723401,915200000,33.98912486869463,151.0,2
32,196200000.0,1,0.0,4415545.645637722,964000000,34.32778808645205,152.0,2
33,196200000.0,1,0.0,4420012.491552044,1012800000,34.66841164445518,153.0,2
34,196200000.0,1,0.0,4424479.337466364,1061600000,35.010764550704245,154.0,2
35,196200000.0,1,0.0,4428946.183380686,1110400000,35.35465109758444,155.0,2
36,196200000.0,1,0.0,4433413.029295006,1159200000,35.6999043528031,156.0,2
37,196200000.0,1,0.0,4437879.875209328,1208000000,36.04638104125474,157.0,2
38,196200000.0,1,0.0,4442347.50711728,1256800000,29.48486657378176,158.0,2
39,196200000.0,1,0.0,4446805.993763806,1305600000,29.651619799875903,159.0,2
40,196200000.0,1,0.0,4449483.160117204,1354400000,29.819761953153293,160.0,2
41,196200000.0,1,0.0,4452160.326470602,1403200000,29.988708102034494,161.0,2
42,196200000.0,1,0.0,4454837.492824001,1452000000,30.158386541536462,162.0,2
43,196200000.0,1,0.0,4457514.659177398,1500800000,30.32873394061227,163.0,2
44,196200000.0,1,0.0,4460191.825530797,1549600000,30.499694150222293,164.0,2
45,196200000.0,1,0.0,4462868.991884196,1598400000,30.671217209585087,165.0,2
46,196200000.0,1,0.0,4465702.612475485,1647200000,30.843172442444867,166.0,2
47,196200000.0,1,0.0,4468536.233066772,1696000000,31.015609430707027,167.0,2
48,196200000.0,1,0.0,4471369.8536580615,1744800000,31.18849212622206,168.0,2
49,196200000.0,1,0.0,4474203.47424935,1793600000,31.361788043243152,169.0,2
50,196200000.0,1,0.0,4477037.094840638,1842400000,31.53546782646225,170.0,2
51,196200000.0,1,0.0,4479870.715431926,1891200000,31.70950488055537,171.0,2
52,196200000.0,1,0.0,4482701.573686068,1940000000,31.883875821555048,172.0,2
53,196200000.0,1,0.0,4484319.814190796,1988800000,32.058893002120286,173.0,2
54,196200000.0,1,0.0,4485938.054695524,2037600000,32.23419528905637,174.0,2
55,196200000.0,1,0.0,4487556.29520025,2086400000,32.4097644957441,175.0,2
56,196200000.0,1,0.0,4489174.535704979,2135200000,32.58558396714444,176.0,2
57,196200000.0,1,0.0,4490792.7762097055,2184000000,32.761638421145655,177.0,2
58,196200000.0,1,0.0,4492457.162982375,2232800000,32.93789404794097,178.0,2
