t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow,cg_iters,cg_columns,cg_converged,obj_lp,obj_greedy,key_blocked_edges
0,245000000.0,0,2109375.0,2425130.2083333335,0,0.8811589100178921,0.9476988686844755,0,0.0,762500.0,145351562500.0,190625.0,14535156250000.0,7200000.0,0.0,0,0,1,0.0,0.0,0
1,245000000.0,0,1796875.0,2350260.4166666665,0,1.9315194519902665,2.1124243899047483,0,0.0,918750.0,229335937500.0,346875.0,22933593750000.0,7200000.0,0.0,0,0,1,0.0,0.0,0
2,245000000.0,0,1640625.0,2275390.625,0,3.0512916738522198,3.218305033122668,0,0.0,1065625.0,237236328125.0,303125.0,23723632812500.0,7200000.0,0.0,0,0,1,0.0,0.0,0
3,245000000.0,0,1160095.3703703706,2202363.7602880658,0,4.1463299723175515,4.722511389707835,0,0.0,1221875.0,531513671875.0,650000.0,53151367187500.0,7200000.0,0.0,0,0,1,0.0,0.0,0
4,245000000.0,0,1203845.3703703706,2135091.300581304,0,3.9562761008246086,5.659964049482299,0,0.0,1331998.0247217158,499554288268.582,606250.0,49955428826858.195,7273503.950556569,4.0745362639427185e-10,0,0,1,0.0,0.0,0
5,245000000.0,0,1137500.0,2101152.1742078755,0,4.7228622964358,6.756697408871322,0,0.0,2013996.0494434317,844467153074.3279,562500.0,84446715307432.78,7273503.950556569,4.0745362639427185e-10,0,0,1,0.0,0.0,0
6,245000000.0,0,900720.3703703706,2072768.603390002,0,6.385827585024354,8.217982498475136,0,0.0,2095994.0741651475,1033493223975.7162,909375.0,103349322397571.62,7273503.950556569,4.0745362639427185e-10,0,0,1,0.0,0.0,0
7,245000000.0,0,944470.3703703706,2061051.6992387958,0,6.121160606067272,9.115349208898568,0,0.0,2206117.0988868633,1203939238166.9495,865625.0,120393923816694.95,7273503.950556569,4.0745362639427185e-10,0,0,1,0.0,0.0,0
8,245000000.0,0,597595.3703703706,2055416.3215146412,0,8.209866297995612,11.34115514251728,0,0.0,2275391.0063352333,1649095591435.9646,1212500.0,164909559143596.47,7298952.18510326,0.0,0,0,1,0.0,0.0,0
9,245000000.0,0,641345.3703703706,2055517.4238786204,0,7.527384723349118,12.11358981048905,0,0.0,2372789.913783604,1743528681998.9011,1168750.0,174352868199890.12,7298952.18510326,0.0,0,0,1,0.0,0.0,0
10,245000000.0,0,685095.3703703706,2066559.2897023063,0,6.578105823167725,12.915046633998351,0,0.0,3042057.3243066506,2206221870418.9688,1125000.0,220622187041896.88,7298978.172804552,2.963362888408483e-10,0,0,1,0.0,0.0,0
11,245000000.0,0,338220.37037037057,2077772.2250579884,0,9.041401828533887,16.89587234344548,0,0.0,3111318.2379043745,2590095042185.1865,1471875.0,259009504218518.66,7298978.172804552,3.1397284772083367e-10,0,0,1,0.0,0.0,0
12,245000000.0,0,381970.37037037057,2088985.1604136704,0,7.702804120536726,17.222336125026594,0,0.0,3208717.1453527445,2871049814854.535,1428125.0,287104981485453.5,7298978.172804552,2.963362888408483e-10,0,0,1,0.0,0.0,0
13,245000000.0,0,425720.37037037057,2100727.6233045403,0,6.099469892743531,17.686910067743206,0,0.0,3877984.5558757917,3520264441830.735,1384375.0,352026444183073.5,7318041.164071309,3.1397284772083367e-10,0,0,1,0.0,0.0,0
14,245000000.0,0,78845.37037037057,2112470.08619541,0,10.326504037877678,39.04841533983503,0,0.0,3947245.4694735156,3842864339989.6934,1731250.0,384286433998969.3,7318041.164071309,2.703171020357331e-10,0,0,1,0.0,0.0,0
15,245000000.0,0,278845.37037037057,2106851.437975168,0,6.9939886591481235,17.51651462724127,0,0.0,4200894.376921886,4139733788238.244,1531250.0,413973378823824.44,7318041.164071309,1.9755752589389886e-10,0,0,1,0.0,0.0,0
16,245000000.0,0,322595.37037037057,2118593.900866038,0,7.407664368440326,22.18055813873636,0,0.0,4870161.787444933,5092821074848.191,1487500.0,509282107484819.1,7318041.164071309,1.7153833908878369e-10,0,0,1,0.0,0.0,0
17,238784414.81481487,1,0.0,2133034.100382422,6215585,19.748996703625128,137.0,1,38633499194292.92,4842304.182524139,4990800582530.6045,1810095.3703703706,518396807850206.9,7318041.164071309,7.275957614183426e-11,0,0,1,0.0,0.0,0
18,251215585.18518513,0,200000.0,2124717.7155366666,0,8.388174503888685,21.39431577822546,0,0.0,5265910.497379916,5934748325552.322,1610095.3703703706,593474832555232.2,7318041.164071309,1.7153833908878369e-10,0,0,1,0.0,0.0,0
19,245000000.0,0,243750.0,2147310.872871981,0,10.205899719521343,27.171603677221654,0,0.0,4944546.410977639,4534668674199.658,1566345.3703703706,453466867419965.8,7318041.164071309,7.275957614183426e-11,0,0,1,0.0,0.0,0
20,245000000.0,0,287500.0,2159053.33576285,0,8.790386430094841,26.932409012131714,0,0.0,5041945.318426009,5421569297736.76,1522595.3703703706,542156929773676.0,7318041.164071309,1.7153833908878369e-10,0,0,1,0.0,0.0,0
21,229800000.0,1,0.0,2177393.0208759424,15200000,21.718811220302342,141.0,1,231040000000000.0,4873706.232023734,5121683941660.798,1810095.3703703706,627688394166079.8,7318041.164071309,7.275957614183426e-11,0,0,1,0.0,0.0,0
22,260200000.0,0,200000.0,2165177.150433479,0,9.994817042145078,25.64567422187641,0,0.0,5542980.139472104,6459889248451.718,1610095.3703703706,645988924845171.8,7318041.164071309,1.7153833908878369e-10,0,0,1,0.0,0.0,0
23,245000000.0,0,243750.0,2155218.2244354594,0,8.96783313736014,31.171603677221654,0,0.0,6383959.557436449,7199981208642.894,1566345.3703703706,719998120864289.4,7318041.164071309,7.275957614183426e-11,0,0,1,0.0,0.0,0
24,218600000.0,1,0.0,2178419.0206596623,26400000,23.24587711521947,144.0,1,696960000000000.0,5669001.966667552,6374215823508.798,1810095.3703703706,985901582350879.8,7318041.164071309,2.1519408477388424e-10,0,0,1,0.0,0.0,0
25,271400000.0,0,157009.1538916073,2161988.142407164,0,12.57690494662083,32.569439090545906,0,0.0,6532012.82395371,8631418648055.888,1610095.3703703706,863141864805588.8,7341300.882910054,4.77281325572676e-10,0,0,1,0.0,0.0,0
26,207400000.0,1,0.0,2196251.7085991097,37600000,24.31483428956164,146.0,1,1413760000000000.0,6013773.681239868,7436765305007.453,1810095.3703703706,1450556530500745.2,7341300.882910054,6.35768770962386e-10,0,0,1,0.0,0.0,0
27,282600000.0,0,201151.0990034418,2203039.0080136606,0,9.91872161356759,28.271556862433442,0,0.0,5931883.439522584,5671367371617.854,1608944.2713669287,567136737161785.4,7345905.278923821,9.304450543368148e-10,0,0,1,0.0,0.0,0
28,245000000.0,0,246052.1980068836,2224394.197568438,0,7.0561498275802235,32.223014254628204,0,0.0,5999968.316685442,6414009159258.327,1564043.1723634868,641400915925832.8,7345955.041163537,8.917755422999107e-10,0,0,1,0.0,0.0,0
29,219484044.0346433,1,0.0,2250848.8145922897,25515956,16.022583657178284,120.0,1,651064008826021.8,5530715.28288616,5861213500806.584,1810095.3703703703,911653354493669.2,7345955.041163537,1.086642775760538e-09,0,0,1,0.0,0.0,0
30,270515955.9653567,0,201151.0990034418,2234305.579104633,0,9.91044350507433,35.21786317095014,0,0.0,6263934.774000833,7716266257006.807,1608944.2713669285,771626625700680.6,7345955.041163537,8.826805952821815e-10,0,0,1,0.0,0.0,0
31,207989362.6897622,1,0.0,2266615.498976,37010637,16.43172244657926,120.0,1,1369787274109966.0,5752577.344187784,6712524552675.434,1810095.3703703703,1356146092322526.5,7345955.041163537,1.1869225602367806e-09,0,0,1,0.0,0.0,0
32,282010637.31023777,0,44901.09900344181,2262192.462186137,0,12.382838960941415,43.5719414877198,1,0.0,6639481.534784743,9212940866641.26,1765194.2713669285,921294086664126.0,7345955.041163537,1.0775478287428086e-09,0,0,1,0.0,0.0,0
33,245000000.0,0,89802.19800688361,2283478.8180873417,0,11.99162902263686,34.204547165549954,0,0.0,6516947.879446962,7910202109282.459,1720293.1723634866,791020210928245.9,7345955.27149052,4.911271389573812e-10,0,0,1,0.0,0.0,0
34,245000000.0,0,134703.29701032542,2304643.983041676,0,11.896029342132733,41.76771833348105,0,0.0,6013157.641446328,6893666368859.315,1675392.0733600447,689366636885931.5,7345955.27149052,7.020535264246064e-10,0,0,1,0.0,0.0,0
35,245000000.0,0,179604.39601376723,2293139.913414037,0,12.340485180545883,36.50474936518386,0,0.0,6481255.568771399,7344965526241.579,1630490.9743566029,734496552624157.9,7345955.27149052,4.984030965715647e-10,0,0,1,0.0,0.0,0
36,202473406.72440553,1,0.0,2330801.441742942,42526593,17.282912991854314,120.0,1,1808511135627838.2,5502461.211836159,6264131037397.006,1810095.37037037,1530668671553619.8,7345955.27149052,5.365254907019334e-10,0,0,1,0.0,0.0,0
37,287526593.2755945,0,178001.10483509384,2316095.446810946,0,12.370264325055281,43.65045373820666,0,2.220446049250313e-16,6743427.268061417,9155713613500.785,1608944.2713669282,915571361350078.5,7346931.811921778,4.43833414465189e-10,0,0,1,0.0,0.0,0
38,207989362.6897622,1,0.0,2355457.138195083,37010637,17.532266869326882,120.0,1,1369787274109967.0,6232069.723084876,7851642289613.154,1810095.37037037,1470057866016299.0,7346931.811921778,1.2659402415238219e-09,0,0,1,0.0,0.0,0
39,282010637.3102378,0,44901.09900344181,2329020.970814143,0,13.151543822891187,51.08214225073395,1,0.0,7821107.936058593,10045555975625.32,1765194.2713669282,1004555597562532.0,7346931.811921778,1.4096404044039446e-09,0,0,1,0.0,0.0,0
40,245000000.0,0,89802.19800688361,2355121.946439581,0,13.834380473893782,41.27918132395267,0,0.0,7076918.129101146,8330045450558.927,1720293.1723634864,833004545055892.6,7346931.811921778,1.6733938679180937e-09,0,0,1,0.0,0.0,0
41,245000000.0,0,134703.29701032542,2344367.7100685686,0,15.629991014979831,42.286622585321616,0,0.0,7327307.755679315,9116132384054.576,1675392.0733600445,911613238405457.6,7346931.811921778,1.7606289759442006e-09,0,0,1,0.0,0.0,0
42,245000000.0,0,179604.39601376723,2375420.25634229,0,9.679810263404953,47.33463415312029,0,0.0,6623517.517678682,7686865633364.432,1630490.9743566026,768686563336443.1,7346931.812392233,2.0314410023125704e-09,0,0,1,0.0,0.0,0
43,202473406.72440553,1,0.0,2412975.0821051933,42526593,14.830392478101603,120.0,1,1808511135627838.2,5835348.160743442,6584101895524.505,1810095.3703703699,1562665757366369.5,7346931.812392233,1.9514054685565527e-09,0,0,1,0.0,0.0,0
44,287526593.2755945,0,112437.20570939325,2398987.2103332845,0,6.739050327524281,53.16741309379813,0,2.220446049250313e-16,6900806.546660205,9576670830878.549,1608944.271366928,957667083087854.9,7346931.812392233,1.7877728055815199e-09,0,0,1,0.0,0.0,0
45,207989362.6897622,1,0.0,2437848.9717904213,37010637,14.918971045061811,120.0,1,1369787274109967.0,6389449.0016836645,8205980046181.055,1810095.3703703699,1505491641673089.0,7346931.812392233,1.8568180195721682e-09,0,0,1,0.0,0.0,0
46,282010637.3102378,0,26740.377387764398,2384005.4569804166,0,15.248946603044747,72.09707251070604,3,0.0,8510065.51143248,9695671813200.541,1765194.271366928,969567181320054.1,7346931.812392233,1.8582519923586015e-09,0,0,1,0.0,0.0,0
47,245000000.0,0,89802.19800688361,2421238.0983113092,0,11.732037473776082,51.67793522944844,0,0.0,7365875.704239806,8433974151062.436,1720293.1723634861,843397415106243.5,7346931.812392233,1.7968677525992491e-09,0,0,1,0.0,0.0,0
