t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow,cg_iters,cg_columns,cg_converged,obj_lp,obj_greedy,key_blocked_edges
0,245000000.0,0,2109375.0,2425672.7430555555,0,0.8678816811621574,0.9476988686844755,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7200000.0,0.0,0,0,1,0.0,0.0,0
1,245000000.0,0,1718750.0,2351345.486111111,0,1.9553749264829172,2.1629597325192615,0,0.0,1143750.0,436054687500.0,381250.0,43605468750000.0,7200000.0,0.0,0,0,1,0.0,0.0,0
2,245000000.0,0,1328125.0,2277018.2291666665,0,3.0760090197024463,3.5047493651838613,0,0.0,1715625.0,981123046875.0,571875.0,98112304687500.0,7200000.0,0.0,0,0,1,0.0,0.0,0
3,245000000.0,0,1137500.0,2219357.638888889,0,4.184985372071511,4.756697408871322,0,0.0,2287500.0,1744218750000.0,762500.0,174421875000000.0,7200000.0,0.0,0,0,1,0.0,0.0,0
4,245000000.0,0,946875.0,2161773.915836774,0,4.7539909738221136,6.109982856389292,0,0.0,2859375.0,2725341796875.0,953125.0,272534179687500.0,7202767.220123866,1.6439116734545678e-10,0,0,1,0.0,0.0,0
5,245000000.0,0,756250.0,2115301.30389577,0,5.774651319297127,7.641135688345988,0,0.0,3431250.0,3924492187500.0,1143750.0,392449218750000.0,7202767.220123866,1.6439116734545678e-10,0,0,1,0.0,0.0,0
6,245000000.0,0,565625.0,2085495.3586214334,0,6.842723236080424,9.529671299360247,0,0.0,4003125.0,5341669921875.0,1334375.0,534166992187500.0,7202767.220123866,1.6439116734545678e-10,0,0,1,0.0,0.0,0
7,245000000.0,0,375000.0,2055689.4133470962,0,8.108098007146161,12.319148936170212,0,0.0,4575000.0,6976875000000.0,1525000.0,697687500000000.0,7202767.220123866,1.6439116734545678e-10,0,0,1,0.0,0.0,0
8,245000000.0,0,184375.0,2038472.918662885,0,10.13988282333312,18.78894133513149,0,0.0,5146875.0,8830107421875.0,1715625.0,883010742187500.0,7228215.454670558,0.0,0,0,1,0.0,0.0,0
9,243400000.0,1,0.0,2026561.3687926224,1600000,34.3953205374271,129.0,3,2560000000000.0,5700000.0,10830000000000.0,1900000.0,1084280000000000.0,7228215.454670558,0.0,0,0,1,0.0,0.0,0
10,196200000.0,1,0.0,2047403.0690305112,50400000,33.78735079126671,130.0,3,2540160000000000.0,5688259.995588916,10785525810941.455,1900000.0,2348632581094145.5,7275175.472314892,7.09405867382884e-11,0,0,1,0.0,0.0,0
11,196200000.0,1,0.0,2068827.2140948144,99200000,31.731750995373343,131.0,3,9840640000000000.0,5676519.991177833,10741327277290.053,1900000.0,5994452727729005.0,7275175.472314892,7.275957614183426e-11,0,0,1,0.0,0.0,0
12,196200000.0,1,0.0,2090251.3591591169,148000000,30.523547063222882,132.0,3,2.1904e+16,5664779.986766749,10697404399045.797,1900000.0,1.202174043990458e+16,7275175.472314892,7.275957614183426e-11,0,0,1,0.0,0.0,0
13,196200000.0,1,0.0,2111702.3926716945,196800000,28.38691582200466,133.0,3,3.873024e+16,5653039.982355665,10653757176208.684,1900000.0,2.0430495717620868e+16,7276143.456452801,7.275957614183426e-11,0,0,1,0.0,0.0,0
14,196200000.0,1,0.0,2133153.4261842724,245600000,28.346622878998783,134.0,2,6.031936e+16,5641299.977944582,10610385608778.717,1900000.0,3.122071856087787e+16,7276143.456452801,7.275957614183426e-11,0,0,1,0.0,0.0,0
15,196200000.0,1,0.0,2154604.45969685,294400000,28.500878046037514,135.0,2,8.667136e+16,5629559.973533498,10567289696755.895,1900000.0,4.439240896967559e+16,7276143.456452801,7.09405867382884e-11,0,0,1,0.0,0.0,0
16,196200000.0,1,0.0,2176055.493209428,343200000,28.76791597946322,136.0,2,1.1778624e+17,5617819.9691224145,10524469440140.215,1900000.0,5.9945566944014024e+16,7276143.456452801,7.09405867382884e-11,0,0,1,0.0,0.0,0
17,196200000.0,1,0.0,2197506.5267220056,392000000,29.106340833067016,137.0,2,1.53664e+17,5606079.964711331,10481924838931.682,1900000.0,7.788019248389317e+16,7276143.456452801,1.000444171950221e-10,0,0,1,0.0,0.0,0
18,196200000.0,1,0.0,2218957.5602345834,440800000,29.492923276869192,138.0,2,1.9430464e+17,5594339.960300247,10439655893130.293,1900000.0,9.819628558931302e+16,7276143.456452801,1.000444171950221e-10,0,0,1,0.0,0.0,0
19,196200000.0,1,0.0,2240408.5937471613,489600000,29.913603836506052,139.0,2,2.3970816e+17,5582599.955889164,10397662602736.047,1900000.0,1.208938462602736e+17,7276143.456452801,1.000444171950221e-10,0,0,1,0.0,0.0,0
20,196200000.0,1,0.0,2261859.6272597397,538400000,30.359363813890972,140.0,2,2.8987456e+17,5570859.95147808,10355944967748.947,1900000.0,1.4597287449677488e+17,7276143.456452801,1.000444171950221e-10,0,0,1,0.0,0.0,0
21,196200000.0,1,0.0,2283310.660772317,587200000,30.824144837637732,141.0,2,3.4480384e+17,5559119.947066996,10314502988168.992,1900000.0,1.734333702988169e+17,7276143.456452801,1.000444171950221e-10,0,0,1,0.0,0.0,0
22,196200000.0,1,0.0,2304761.694284895,636000000,31.303721419694273,142.0,2,4.04496e+17,5547379.942655913,10273336663996.18,1900000.0,2.032753336663996e+17,7276143.456452801,1.000444171950221e-10,0,0,1,0.0,0.0,0
23,196200000.0,1,0.0,2325995.1807291857,684800000,31.795169308746576,143.0,2,4.6895104e+17,5535639.938244829,10232445995230.514,1900000.0,2.3549876459952304e+17,7276143.456452801,1.000444171950221e-10,0,0,1,0.0,0.0,0
24,196200000.0,1,0.0,2346743.66216574,733600000,32.29635466622455,144.0,2,5.3816896e+17,5523899.933833745,10191830981871.992,1900000.0,2.701036630981872e+17,7276143.456452801,1.000444171950221e-10,0,0,1,0.0,0.0,0
25,196200000.0,1,0.0,2367409.92890148,782400000,32.805349586662565,145.0,2,6.1214976e+17,5512159.929422635,10151491623920.52,1900000.0,3.0709002916239206e+17,7276143.456545977,1.4764509614906274e-09,0,0,1,0.0,0.0,0
26,196200000.0,1,0.0,2387996.7214239314,831200000,33.32084501651603,146.0,2,6.9089344e+17,5500419.925011523,10111427921376.195,1900000.0,3.464578627921376e+17,7276143.456545977,1.4764509614906274e-09,0,0,1,0.0,0.0,0
27,196200000.0,1,0.0,2408506.6888903864,880000000,29.98467243428674,147.0,2,7.744e+17,5488679.920600412,10071639874239.016,1900000.0,3.882071639874239e+17,7276143.457152564,2.3284142506869304e-09,0,0,1,0.0,0.0,0
28,196200000.0,1,0.0,2429417.4381719697,928800000,30.36720095601993,148.0,2,8.6266944e+17,5476939.916189302,10032127482508.982,1900000.0,4.323379327482509e+17,7293245.1150322,2.395716858618127e-09,0,0,1,0.0,0.0,0
